Zone-1,Zone-2,Zone-3,Zone -4,Zone-5,Zone-6,Zone-7
0.455799,0.537471,0.513548,0.539835,0.569144,0.650605,0.39398
0.390463,0.44368,0.426298,0.445636,0.470853,0.595297,0.345108
0.365945,0.403569,0.389108,0.405384,0.428748,0.58482,0.315679
0.352449,0.389219,0.37499,0.390992,0.414226,0.575163,0.301947
0.371808,0.374667,0.361137,0.376316,0.399161,0.617591,0.320692
0.434615,0.415955,0.399613,0.41706,0.4431,0.706216,0.382858
0.641204,0.664116,0.583381,0.62202,0.686408,1.043683,0.57939
0.76664,1.32621,0.777076,0.856003,0.997052,1.132524,0.709656
1.81407,2.35827,0.715486,0.786491,0.903976,1.181936,0.775643
4.13655,3.46319,0.590005,0.623017,0.671127,1.187529,0.839701
3.75293,5.12553,0.595674,0.622127,0.65709,1.272881,0.851199
0.918347,1.64073,0.622757,0.649209,0.683767,1.221272,0.870327
0.930899,1.17732,0.608426,0.634685,0.668994,1.209195,0.864751
1.73401,0.998686,0.661526,0.689803,0.723374,1.220288,0.884622
3.75411,3.43066,0.66584,0.700072,0.727048,1.158751,0.860729
3.63541,5.20432,0.737999,0.791031,0.793616,1.274974,0.947078
0.966108,1.32902,0.871276,0.965801,0.921658,1.378226,1.01608
1.69234,1.93397,1.284462,1.423924,1.350704,1.709925,1.248108
1.19245,1.46322,1.491306,1.629466,1.615678,1.709783,1.21857
1.77514,3.01159,1.479147,1.560488,1.67932,1.550591,1.052642
2.9598,3.13956,1.372025,1.460327,1.558187,1.38188,0.900788
2.04382,4.00727,1.260831,1.338593,1.397982,1.191877,0.805041
0.76695,1.0742,1.018118,1.078696,1.128057,1.084993,0.702045
0.565639,0.80912,0.768063,0.812617,0.852611,0.811445,0.503513
0.458446,0.537471,0.513548,0.539835,0.569144,0.677847,0.39398
0.410746,0.44368,0.426298,0.445636,0.470853,0.621235,0.345108
0.382627,0.403569,0.389108,0.405384,0.428748,0.589308,0.315679
0.369344,0.389219,0.37499,0.390992,0.414226,0.580654,0.301947
0.389501,0.76853,0.361137,0.376316,0.399161,0.606331,0.320692
5.91134,4.48099,0.399613,0.41706,0.4431,0.647571,0.382858
3.85515,5.12979,0.583381,0.62202,0.686408,0.978784,0.57939
1.8259,3.56219,0.777076,0.856003,0.997052,1.11415,0.709656
2.91594,4.68635,0.715486,0.786491,0.903976,1.142411,0.775643
0.912557,0.629363,0.590005,0.623017,0.671127,1.215029,0.839701
0.926746,1.04537,0.595674,0.622127,0.65709,1.264875,0.851199
2.20077,1.52377,0.964008,0.99046,1.025018,1.538355,1.211578
