Zone-1,Zone-2,Zone-3,Zone-4,Zone-5,Zone-6,Zone-7
7.206876,10.200757,9.676305,10.202045,10.364338,7.920472,6.635152
6.617983,8.644301,8.261675,8.648435,8.795402,7.18182,5.927506
6.659494,8.158877,7.874675,8.200195,8.778466,6.82227,5.969513
6.816593,7.924368,7.680822,8.000862,8.582521,6.942665,6.182508
7.546152,7.721025,7.470672,7.774252,8.292102,7.409003,6.502156
8.494151,10.160228,8.535716,8.884656,9.475414,8.843178,7.429522
11.696633,18.389755,12.034747,12.807527,13.979337,12.974149,10.545811
13.338215,32.34167,15.550278,17.128818,19.499878,15.214944,12.161126
20.226467,47.360896,14.265433,15.685533,17.556215,16.397245,13.135056
36.777425,50.889947,11.502543,12.162783,12.635033,17.528493,14.305211
45.600674,63.662154,11.748843,12.277903,12.633082,18.361105,15.199372
45.153333,49.4717,12.320189,12.849229,13.359591,19.137496,16.144291
47.493013,50.866837,12.198054,12.723234,13.359877,19.718536,16.767901
41.240526,41.21354,13.068356,13.633896,14.211459,20.104915,17.21298
45.459762,47.209701,13.535004,14.219644,14.81875,20.207867,17.297801
45.399207,58.958185,14.831629,15.892269,15.954557,21.394863,18.646415
44.253144,49.08133,17.839197,19.729697,18.916488,23.522317,20.373401
52.25608,56.52003,24.505382,27.294622,25.317462,27.774477,23.729064
41.062016,41.109712,29.149976,31.913176,31.279541,29.825588,24.092933
39.482401,56.949514,29.982845,31.609665,34.620315,28.571406,22.588644
37.593161,51.87762,27.671796,29.437836,31.946915,25.200322,20.145114
36.937149,57.176027,24.823655,26.378895,27.646201,21.863282,17.758649
32.201546,37.412565,20.011149,21.222709,22.300798,19.038327,15.469973
26.944476,29.824165,15.516723,16.407803,17.647207,13.754632,11.964963
19.890988,11.137054,10.612602,11.138342,12.244665,11.108234,10.008969
12.973314,9.01418,8.631554,9.018314,9.781746,9.422945,8.495512
8.762259,9.340466,7.874675,8.200195,8.778466,8.193959,7.275689
7.999741,20.907214,7.680822,8.000862,8.582521,7.435837,6.552387
7.86757,32.005183,7.470672,7.774252,8.292102,7.409003,6.502156
41.638735,55.298059,8.535716,8.884656,9.475414,8.843178,7.429522
42.129101,75.373878,12.034747,12.807527,13.979337,12.974149,10.545811
59.136923,77.766666,15.550278,17.128818,19.499878,15.214944,12.161126
64.687114,74.923954,14.265433,15.685533,17.556215,16.397245,13.135056
52.010045,40.364779,12.867547,13.527787,14.341288,17.528493,14.305211
41.644649,40.790641,12.772596,13.301656,13.998086,18.361105,15.199372
33.416085,23.516545,14.47935,15.00839,13.072596,20.5025,17.509295
30.723731,26.745335,12.877822,13.403002,13.939299,21.08354,17.109152
26.72713,22.512044,13.226067,13.791607,16.350419,20.899072,19.03089
25.403106,22.738599,12.79867,13.48331,14.296205,21.512738,19.11612
25.686034,19.272518,13.934663,14.995303,15.354572,22.080474,18.947419
23.833955,24.11787,17.437884,19.328384,18.321356,22.759121,19.675521
22.251673,30.776425,24.244862,27.034102,24.637682,27.066638,22.793085
26.007202,37.106927,29.141012,31.904212,31.255637,29.225576,23.443052
28.053994,37.82405,29.982845,31.609665,34.620315,28.221058,22.31916
25.942564,36.024591,27.671796,29.437836,31.946915,25.18837,20.13615
24.156087,29.063942,24.823655,26.378895,27.646201,21.863282,17.758649
18.317254,21.354865,20.011149,21.222709,22.300798,19.038327,15.469973
14.486912,16.452915,15.516723,16.407803,17.647207,13.754632,11.964963
13.567559,11.137054,10.612602,11.138342,12.244665,11.108234,10.008969
10.655869,10.195742,8.631554,9.018314,9.781746,9.422945,8.495512
11.174132,8.946585,7.874675,8.200195,8.778466,8.193959,7.275689
9.223325,12.642287,7.680822,8.000862,8.582521,7.435837,6.552387
9.084122,10.508009,7.470672,7.774252,8.292102,7.409003,6.502156
11.454252,17.484097,8.535716,8.884656,9.475414,8.843178,7.429522
12.974312,25.010048,12.278231,13.051011,14.283692,12.974149,10.545811
